Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk
Chandler-Gregory,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,28131,4104,32235,0.043490564049356674,0.1866839259143167,0.4063998528544974
"Jimenez, Gonzalez and Hall",Multi-Cloud Management,36 months,SOC2,99.9%,45,35218,3508,38726,0.1169068617454981,0.5667645638523757,0.22979568360525937
Miller-Ward,Cloud Optimization,24 months,HIPAA,99.9%,90,24644,2633,27277,0.14560922459786915,0.2547923557313042,0.4857841143552324
Anderson-Parker,Multi-Cloud Management,36 months,ISO 27001,99.9%,60,32587,3995,36582,0.05441049719587254,0.01692935242553506,0.522095236914789
Lambert Inc,Cloud Optimization,12 months,ISO 27001,99.9%,90,18133,3911,22044,0.07233244088405796,0.4848714745971586,0.8905024873479125
"Powell, Morris and Warner",Cloud Optimization,12 months,SOC2,99.9%,45,27801,2856,30657,0.12156029112884749,0.42770117081923853,0.7015993498995969
"Chen, Burton and Osborn",AI-Powered Security,24 months,HIPAA,99.99%,45,32530,3062,35592,0.033625841512035265,0.35910994296759713,0.23037482236602402
"Morgan, Maldonado and Rivera",Cloud Optimization,24 months,SOC2,99.95%,30,27140,2264,29404,0.0323228432914477,0.5936959788158558,0.06719709810271313
"Pena, Bender and Parker",Cloud Optimization,36 months,FedRAMP,99.95%,30,27328,1979,29307,0.07024864610528327,0.8618281308246027,0.5040380076287573
Winters-Chambers,AI-Powered Security,36 months,SOC2,99.99%,30,29943,4259,34202,0.022666527729717018,0.28971791812753556,0.23277228357521673
Shaw Inc,AI-Powered Security,12 months,HIPAA,99.95%,60,30342,4527,34869,0.0033209929550807094,0.5265247107711399,0.2503345637346731
"Finley, Cooper and Deleon",Multi-Cloud Management,36 months,SOC2,99.99%,30,39987,4413,44400,0.10293499201446715,0.034195449921188836,0.8188328992141178
"Reilly, Young and Arnold",Cloud Optimization,12 months,FedRAMP,99.9%,60,18575,3341,21916,0.13345705801865962,0.4373612915626147,0.07534411757315074
Evans-Allen,Multi-Cloud Management,36 months,FedRAMP,99.9%,45,39980,1391,41371,0.07226353636840147,0.8957434451243126,0.18817159584612386
Nichols and Sons,AI-Powered Security,24 months,ISO 27001,99.9%,30,34151,2905,37056,0.05918088123636382,0.06915284067776362,0.3479508614309924
Miller-Long,Cloud Optimization,36 months,HIPAA,99.95%,45,15707,2280,17987,0.010397439205697528,0.2575677256495169,0.5438984207131475
"Thompson, Davidson and Cervantes",Multi-Cloud Management,24 months,SOC2,99.99%,45,31731,1108,32839,0.11711598523307841,0.3637860515990571,0.7360540144827896
"Browning, Pearson and Warner",Cloud Optimization,24 months,HIPAA,99.9%,60,15519,4407,19926,0.039851769825425584,0.9357998315292914,0.4579191671996209
Anderson PLC,AI-Powered Security,36 months,ISO 27001,99.9%,30,24073,641,24714,0.05790465735393288,0.9265789171431259,0.6519543449841703
"Castro, Kirby and Rivera",AI-Powered Security,24 months,FedRAMP,99.9%,30,23714,899,24613,0.11412465450291757,0.48537289516919424,0.20108348840604595
Long-Jones,Cloud Optimization,36 months,FedRAMP,99.95%,90,18647,2116,20763,0.07673342947789683,0.6290596906251722,0.4187544979202146
King-Dillon,AI-Powered Security,12 months,FedRAMP,99.99%,30,19535,1035,20570,0.04988444286105272,0.13268204656084948,0.8115586907290594
"Williamson, Savage and Cannon",AI-Powered Security,24 months,FedRAMP,99.99%,60,25591,4764,30355,0.023758389178048737,0.5021484526369852,0.8625568325238507
Oconnor Group,Cloud Optimization,36 months,ISO 27001,99.9%,90,15110,1744,16854,0.1093370633157118,0.3465410697635244,0.8876580637605281
Turner-Newton,AI-Powered Security,12 months,FedRAMP,99.9%,30,25077,4834,29911,0.04985057703304835,0.4552643473751825,0.5334073751454924
"Short, Jackson and Costa",AI-Powered Security,36 months,FedRAMP,99.9%,60,34712,1939,36651,0.04740769427533063,0.8886084904354514,0.5604582045583303
"Garrett, Huffman and Estrada",Cloud Optimization,12 months,HIPAA,99.99%,30,18117,3790,21907,0.08490713593862764,0.04440246560603034,0.7964356443506597
Edwards Inc,AI-Powered Security,36 months,FedRAMP,99.95%,30,22925,4510,27435,0.11141862521245499,0.5469958503385205,0.25662680391522785
"Hunt, Brady and Kennedy",AI-Powered Security,12 months,SOC2,99.9%,30,30667,1547,32214,0.07672793361943105,0.7066877084605435,0.19275201041271228
"Blankenship, Johnson and Chapman",Cloud Optimization,24 months,HIPAA,99.9%,60,27736,3205,30941,0.015539572499621922,0.5429884037464054,0.3140079252735116
"Williams, Hicks and Cunningham",AI-Powered Security,24 months,FedRAMP,99.95%,60,29528,2390,31918,0.10916335759928768,0.6829416946253303,0.9034002408930234
Walter-White,AI-Powered Security,12 months,FedRAMP,99.99%,30,26418,772,27190,0.001336917625762335,0.18863151011598778,0.6892743824616144
Powell Ltd,Cloud Optimization,36 months,ISO 27001,99.9%,60,20546,2922,23468,0.06807238705865556,0.630284039496343,0.5395756295620613
"Cooper, Smith and Green",Multi-Cloud Management,24 months,HIPAA,99.95%,90,27274,2102,29376,0.12984563809222655,0.15082943766102863,0.012857534116974989
Zimmerman and Sons,AI-Powered Security,36 months,HIPAA,99.9%,30,33963,2821,36784,0.12029460075338558,0.7532971205490819,0.6958636165986992
Chen Ltd,Cloud Optimization,12 months,SOC2,99.9%,60,15195,1832,17027,0.09216319473345443,0.028005319472458434,0.9317885430511741
Adams LLC,AI-Powered Security,36 months,FedRAMP,99.95%,90,28897,2563,31460,0.025355627454382655,0.8829261188948626,0.5722433959684513
Jenkins-Robertson,AI-Powered Security,24 months,ISO 27001,99.95%,60,31678,2565,34243,0.033896757698277526,0.6394684394921037,0.45700230937694064
Norman-Hardy,AI-Powered Security,12 months,SOC2,99.99%,60,27247,1523,28770,0.12849094197470534,0.8438683005175974,0.09867127586805613
Howard-Burgess,Multi-Cloud Management,36 months,SOC2,99.9%,60,20025,2058,22083,0.1299283372898371,0.8828056791884848,0.06994401013863127
Gray-Ruiz,Multi-Cloud Management,12 months,ISO 27001,99.99%,45,33217,1375,34592,0.0012729018125164527,0.21668424398900266,0.8271867142453218
Shepherd and Sons,Cloud Optimization,12 months,ISO 27001,99.95%,30,27552,881,28433,0.026449628065206003,0.4084107878481925,0.1116366871708786
"Jones, Best and Carter",AI-Powered Security,24 months,ISO 27001,99.99%,30,22642,1370,24012,0.128702048635249,0.34238176600918835,0.26665965838820116
Olson and Sons,AI-Powered Security,24 months,ISO 27001,99.99%,45,25750,2112,27862,0.09933189268501683,0.40363552625250454,0.3167910744946142
"Brown, Hamilton and Hayes",AI-Powered Security,36 months,ISO 27001,99.95%,30,34747,1345,36092,0.06273833298840718,0.6989276609452169,0.9994590671864021
Griffin Group,Cloud Optimization,24 months,HIPAA,99.95%,45,20668,3394,24062,0.09708817670611135,0.37346857198304895,0.7428780757183507
"Preston, Jones and Brown",Cloud Optimization,36 months,ISO 27001,99.9%,30,20856,4304,25160,0.14518314749016278,0.6814070600384377,0.3152098471611
"Alvarez, Rivera and Ortiz",AI-Powered Security,12 months,FedRAMP,99.95%,30,32178,4512,36690,0.1126535788707621,0.3776599108873212,0.8691741420473429
"Stevenson, Hampton and Roberts",Cloud Optimization,24 months,HIPAA,99.9%,60,17211,2871,20082,0.11239355408238753,0.3051583305372897,0.9514994392273525
Thomas Inc,Multi-Cloud Management,24 months,FedRAMP,99.99%,90,29092,2250,31342,0.011871700241731413,0.11767651264529899,0.1758578813161925
Alvarez Group,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,26096,4163,30259,0.06355352679907456,0.5108523649637979,0.21411624341293556
"Owen, Anderson and Bryan",Multi-Cloud Management,36 months,HIPAA,99.9%,45,20123,4497,24620,0.04839417663551597,0.8232496026795305,0.7849893076621469
Christian-Conley,Multi-Cloud Management,24 months,FedRAMP,99.9%,90,23670,1641,25311,0.01337050196181867,0.009586017741467612,0.017093520120355365
Thomas-Wright,Multi-Cloud Management,36 months,SOC2,99.99%,90,20972,860,21832,0.11933450437534045,0.7636043591629952,0.1339986812056707
Zavala LLC,Cloud Optimization,12 months,HIPAA,99.99%,30,27953,1475,29428,0.1291053048813225,0.0976099982297075,0.2404455636759093
Alvarez-Gutierrez,AI-Powered Security,12 months,FedRAMP,99.95%,30,31134,3149,34283,0.0008912633766531619,0.04770834145387204,0.14760681915758866
Stout-Owen,AI-Powered Security,12 months,FedRAMP,99.99%,60,28282,4435,32717,0.08301672479215484,0.38903135406771094,0.9981978468860951
Tucker and Sons,AI-Powered Security,36 months,ISO 27001,99.9%,30,32388,1184,33572,0.06238989555486316,0.7847771083834078,0.9120678451256258
Reyes-Davis,Multi-Cloud Management,24 months,HIPAA,99.99%,30,23571,3692,27263,0.039124662003751316,0.7992271062915269,0.27153348290850254
Henderson PLC,Multi-Cloud Management,24 months,SOC2,99.99%,30,34048,1104,35152,0.09617994498482221,0.9236026679779178,0.7829883572657359
Smith Inc,Multi-Cloud Management,24 months,SOC2,99.95%,60,20867,3106,23973,0.07484715077906423,0.6536364449100499,0.8382543658167385
Hughes PLC,Multi-Cloud Management,12 months,FedRAMP,99.9%,45,33141,4254,37395,0.03507725536282165,0.07991510934660673,0.000554184585253914
"Glass, Johnson and Hanson",Multi-Cloud Management,24 months,HIPAA,99.99%,45,23960,1163,25123,0.072900517235734,0.4070849728153849,0.6505747911093461
Hart PLC,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,39562,4990,44552,0.08094709389257847,0.08722413884172275,0.7387972898494148
Campbell-Alexander,Cloud Optimization,24 months,FedRAMP,99.99%,30,23008,4011,27019,0.052275869974738653,0.8329977422394179,0.6976348228326642
"Davis, King and Prince",Multi-Cloud Management,24 months,HIPAA,99.99%,90,36163,3344,39507,0.009775799384581051,0.9631853895298901,0.34899010801415753
Howard-Dunlap,Multi-Cloud Management,12 months,FedRAMP,99.9%,30,31716,2512,34228,0.052279767317203525,0.4343388516482918,0.3351831292187686
"Martinez, Morgan and Edwards",Cloud Optimization,12 months,FedRAMP,99.99%,60,28162,2397,30559,0.0256923954438227,0.8381759206857385,0.02163932494516374
"Powers, Hampton and Gross",Cloud Optimization,24 months,FedRAMP,99.99%,30,26675,4196,30871,0.11192257557401819,0.05060138712180473,0.8925114190941515
Ramirez-Elliott,AI-Powered Security,12 months,ISO 27001,99.99%,45,32328,4223,36551,0.14643468850514615,0.488155956087309,0.057642695597393434
Mathis-Wise,Cloud Optimization,12 months,SOC2,99.99%,30,17053,3505,20558,0.04883652497239926,0.765531331547599,0.01634666523619266
Riley-Stewart,Multi-Cloud Management,12 months,FedRAMP,99.99%,90,28229,2198,30427,0.0409001985402216,0.0033788468084122725,0.7198303117499537
"Allen, Powell and Simmons",Multi-Cloud Management,36 months,HIPAA,99.95%,60,31561,1561,33122,0.10044917424493151,0.13780298768126786,0.6711861221591816
Davis PLC,AI-Powered Security,24 months,ISO 27001,99.9%,90,28870,834,29704,0.13307129980412155,0.04924440140828912,0.1363853929336768
Cole Ltd,AI-Powered Security,12 months,FedRAMP,99.99%,45,22129,4066,26195,0.06769016930569002,0.0040252788539707485,0.40164517721204185
Russell Group,Cloud Optimization,36 months,ISO 27001,99.95%,60,27404,4483,31887,0.09841932065508029,0.8420387836055212,0.7203242773264015
"Martinez, Andrews and Acosta",Multi-Cloud Management,36 months,SOC2,99.9%,90,30719,4338,35057,0.1265087469493606,0.9418212689647267,0.6555581974173488
Griffin-Campbell,Multi-Cloud Management,12 months,FedRAMP,99.95%,90,22223,984,23207,0.09478345083027814,0.522250524356765,0.31931832649784386
Moses-Hayes,AI-Powered Security,24 months,HIPAA,99.9%,60,26265,595,26860,0.11782371498214028,0.4878535023663122,0.21649221049866996
"Johnson, Jones and Smith",Multi-Cloud Management,12 months,ISO 27001,99.99%,45,25350,3306,28656,0.03482233202148744,0.4367065856894923,0.8552303633440688
"Peters, Cruz and Thompson",Multi-Cloud Management,24 months,HIPAA,99.95%,60,36006,4468,40474,0.007485588136634735,0.5558713846457952,0.020748873740378926
Thomas-Lewis,Multi-Cloud Management,36 months,HIPAA,99.99%,90,25125,3948,29073,0.01955475362653365,0.34987309070015393,0.7911596870900682
"Wyatt, Murphy and Turner",Cloud Optimization,24 months,ISO 27001,99.9%,60,18699,2773,21472,0.02455644787635755,0.07658634386161489,0.6639960174596078
Powell Ltd,AI-Powered Security,24 months,SOC2,99.9%,60,30517,4928,35445,0.10870642311965663,0.4453196182237519,0.06036584351505736
"Riley, Hernandez and Wilson",Multi-Cloud Management,36 months,FedRAMP,99.9%,45,22355,1249,23604,0.07714072431638266,0.5971507044831473,0.4575454073734121
Evans-Carpenter,Cloud Optimization,24 months,ISO 27001,99.99%,30,28378,2877,31255,0.0016831334966193768,0.20144012992236626,0.9937700423443627
Simmons-Bailey,Cloud Optimization,24 months,ISO 27001,99.9%,45,26686,3554,30240,0.034689644947366934,0.18964763001953655,0.22812240332032818
Randall and Sons,Cloud Optimization,12 months,FedRAMP,99.99%,90,22190,1452,23642,0.12421877877853515,0.6385250461916646,0.8982590836748244
Scott PLC,AI-Powered Security,12 months,SOC2,99.99%,30,24772,1789,26561,0.011432052717029828,0.6527234395556732,0.5265555568678522
"Cline, Nichols and Perez",Cloud Optimization,24 months,HIPAA,99.95%,90,23667,1838,25505,0.10086023231946158,0.48879874204124096,0.08928107627914939
Frazier Inc,AI-Powered Security,12 months,HIPAA,99.9%,45,30039,4701,34740,0.027196962222699326,0.3304473539983609,0.5382184337322946
"Watson, Freeman and Molina",Multi-Cloud Management,36 months,SOC2,99.9%,30,34814,551,35365,0.06111534791492157,0.3900382776543051,0.8097537174356638
Sanders and Sons,Multi-Cloud Management,12 months,HIPAA,99.9%,30,21772,4402,26174,0.13340798351235778,0.2348402715355853,0.07307265225327231
Webb-Stein,Multi-Cloud Management,24 months,ISO 27001,99.95%,30,35964,2779,38743,0.11487784560555139,0.3791393157725924,0.4787022008507855
"Oliver, Santiago and Rodriguez",Cloud Optimization,24 months,FedRAMP,99.9%,60,16176,2660,18836,0.01297639034096213,0.056947948698448214,0.3743255646128538
Clark Inc,Cloud Optimization,24 months,HIPAA,99.9%,30,28767,1121,29888,0.08024500584981066,0.1304394545333465,0.7975655525345219
Davis Group,Multi-Cloud Management,36 months,HIPAA,99.95%,45,24142,2072,26214,0.030815137472202755,0.2080801569097338,0.151682848366677
Ball-Wilson,Cloud Optimization,36 months,ISO 27001,99.95%,45,24261,3169,27430,0.007280017609450345,0.7442809392941642,0.7460934621942268
"Rodriguez, Carter and Thomas",Cloud Optimization,12 months,SOC2,99.95%,90,19798,1973,21771,0.036363314250911084,0.16858200349761943,0.394340793094323
Ayala Ltd,Cloud Optimization,36 months,HIPAA,99.9%,45,20184,1455,21639,0.12071055971504108,0.9187237493338305,0.8967513646130647
Martinez LLC,Multi-Cloud Management,36 months,FedRAMP,99.9%,30,25819,2536,28355,0.027978274465031504,0.9288342987537925,0.5913339125607484
Ellis-Hill,AI-Powered Security,36 months,SOC2,99.99%,60,25629,3632,29261,0.11016076267574791,0.07249859400505454,0.895298837708947
Hernandez-White,Multi-Cloud Management,36 months,SOC2,99.95%,90,21472,2879,24351,0.06949933523194095,0.6601726416469569,0.7946267910267816
Rice LLC,Multi-Cloud Management,24 months,ISO 27001,99.9%,45,26816,1240,28056,0.09508086690781187,0.860287264814549,0.9836918584171765
Reese-Ochoa,Cloud Optimization,12 months,ISO 27001,99.9%,45,17006,2286,19292,0.0098196528221469,0.38037893703847325,0.003606436106461497
"Johnson, Flores and Peters",Cloud Optimization,24 months,HIPAA,99.99%,90,17560,2677,20237,0.11203554830332849,0.20152700291824244,0.3413092404898934
Melton-Patel,AI-Powered Security,36 months,ISO 27001,99.9%,90,33615,1381,34996,0.03150793802689578,0.7839169288465484,0.6858724552314401
Donaldson Group,Cloud Optimization,36 months,HIPAA,99.9%,60,26255,3628,29883,0.04050037216817929,0.35276846585695576,0.8716367705200551
"Curtis, Fuentes and Davis",Cloud Optimization,36 months,HIPAA,99.9%,60,19809,678,20487,0.07970974604944832,0.27358426781437073,0.9267887831144266
Munoz-Burnett,Multi-Cloud Management,12 months,HIPAA,99.9%,90,31411,1214,32625,0.050532294671487,0.6248068577332605,0.4983714454509194
Rowland-Rocha,Cloud Optimization,12 months,ISO 27001,99.9%,60,16828,3560,20388,0.06108696258931058,0.026057885985593,0.5653851600991959
Short-Lee,AI-Powered Security,36 months,ISO 27001,99.9%,60,31083,995,32078,0.09947937380225094,0.20451037055595478,0.4157490525321659
"Chang, Williams and Boyle",Cloud Optimization,36 months,HIPAA,99.99%,30,16233,2297,18530,0.029279072141388827,0.1432959914309344,0.0260295498171349
Johnson-Tucker,Cloud Optimization,12 months,FedRAMP,99.99%,60,26818,1349,28167,0.030216594694452273,0.04203640219042071,0.9703838227924875
Mason Group,Cloud Optimization,12 months,ISO 27001,99.9%,30,23706,2091,25797,0.05680359949995034,0.6948870858072801,0.8175945469515462
Wood-Wilson,AI-Powered Security,24 months,SOC2,99.95%,60,23690,4829,28519,0.09245344853985374,0.6850299492691885,0.19776762761751843
Petty-Cardenas,Cloud Optimization,12 months,SOC2,99.9%,90,21950,1214,23164,0.04532782649991252,0.27752879198502856,0.8644276285221034
Hill-Sharp,Multi-Cloud Management,36 months,HIPAA,99.99%,45,29541,2074,31615,0.11834657817784405,0.9300268378881623,0.11790631182028422
Nichols and Sons,Cloud Optimization,36 months,ISO 27001,99.9%,30,20058,3647,23705,0.0980313220059801,0.29097550574886544,0.5867526197461204
Gross-Glover,AI-Powered Security,36 months,ISO 27001,99.99%,90,18744,4014,22758,0.10462828329121124,0.07283272898998872,0.9387108164170271
"Smith, Delacruz and Hart",AI-Powered Security,24 months,HIPAA,99.9%,45,27586,1720,29306,0.034906230058330726,0.03478498085873405,0.7931106750282209
Carlson-Lindsey,Cloud Optimization,12 months,ISO 27001,99.95%,45,18370,2045,20415,0.10605508320507546,0.23258027261128045,0.8807538380567184
Parker-Daniels,AI-Powered Security,36 months,HIPAA,99.9%,60,22014,4679,26693,0.10845516462761935,0.39324646479203773,0.2172334745924347
Morrison-Munoz,AI-Powered Security,24 months,ISO 27001,99.95%,90,32008,1125,33133,0.05446926642691081,0.2570818218513682,0.7510329615376086
"Dominguez, Brooks and Wheeler",Multi-Cloud Management,24 months,SOC2,99.99%,45,22781,2391,25172,0.10573693923662161,0.6789048945276632,0.6121095775008583
Bailey-Valdez,Multi-Cloud Management,12 months,SOC2,99.99%,45,30830,3787,34617,0.012939921159464473,0.41671911497304903,0.6179730468473074
Joyce LLC,Multi-Cloud Management,36 months,ISO 27001,99.9%,60,30659,663,31322,0.06813435865608021,0.8881942258481593,0.6944797419533928
Williams-Bradley,Cloud Optimization,24 months,ISO 27001,99.9%,90,15339,4281,19620,0.027162105346191154,0.6319820929833062,0.6157897989801244
Gordon LLC,Cloud Optimization,24 months,HIPAA,99.95%,60,27633,1138,28771,0.13663128127868296,0.3469689983700185,0.10206178513782682
Cervantes-Miller,Multi-Cloud Management,24 months,ISO 27001,99.9%,45,27407,2005,29412,0.037925430461218504,0.39198111290696014,0.6459341848009382
"Avery, Davis and Fleming",Cloud Optimization,36 months,HIPAA,99.95%,60,15080,2634,17714,0.11979195238851764,0.4585487714794001,0.19982092034136412
"Howell, King and Ashley",Multi-Cloud Management,12 months,FedRAMP,99.9%,60,33191,4014,37205,0.1305538246933537,0.6961531425400574,0.24475915076013044
Obrien Ltd,Cloud Optimization,12 months,ISO 27001,99.9%,45,21405,990,22395,0.06524386595268251,0.11197297048699328,0.14104969024984015
Barrett-Clark,Multi-Cloud Management,12 months,ISO 27001,99.99%,90,36203,1634,37837,0.09963884657102064,0.899278792536333,0.7265587872242619
Nicholson Group,Multi-Cloud Management,24 months,ISO 27001,99.9%,60,28937,2502,31439,0.0307920534929551,0.36422393372650386,0.650156220738494
Grant-Ballard,AI-Powered Security,36 months,SOC2,99.99%,90,28790,1853,30643,0.07472226558518504,0.2459372142528491,0.6887303576063237
"Stevens, Hamilton and Marquez",Multi-Cloud Management,36 months,HIPAA,99.99%,30,34716,1984,36700,0.11284041914180093,0.06750122887238752,0.21716451595644226
Romero Ltd,Cloud Optimization,36 months,FedRAMP,99.9%,60,21376,2422,23798,0.10828859548934,0.7735191902421031,0.1498162860461033
"Conrad, Rocha and Smith",AI-Powered Security,12 months,ISO 27001,99.9%,45,29366,4188,33554,0.13562455259341125,0.23063464566141334,0.29140226628824484
Meyers-Frey,Cloud Optimization,12 months,FedRAMP,99.9%,90,18549,957,19506,0.0588393218651541,0.4390099911996094,0.7970628832022295
"Nelson, Mason and Ball",Cloud Optimization,24 months,FedRAMP,99.95%,60,23452,1747,25199,0.051263640344784416,0.3257681196433685,0.035087611216299996
"Gibson, Franklin and Boyd",AI-Powered Security,36 months,ISO 27001,99.95%,90,18135,2877,21012,0.025181835162426947,0.009666266690182335,0.07331645212076543
"Bates, Smith and Smith",Cloud Optimization,12 months,HIPAA,99.9%,60,28760,1134,29894,0.04282656731093385,0.34859115037658306,0.4935169867247723
Bush Group,AI-Powered Security,36 months,HIPAA,99.95%,30,33396,602,33998,0.0843096150088286,0.5926639501334947,0.48620706489663
Pham-Clark,Cloud Optimization,12 months,SOC2,99.95%,45,21750,2735,24485,0.006159956061991739,0.07153882189037641,0.32505152360958756
Richardson LLC,AI-Powered Security,24 months,FedRAMP,99.95%,90,23945,1776,25721,0.019593595030393766,0.933954131795238,0.14418946390615306
Miranda-Cox,Cloud Optimization,12 months,ISO 27001,99.99%,90,29196,4247,33443,0.015713738930774705,0.8363098750156717,0.408193081817418
Baker Ltd,Cloud Optimization,36 months,HIPAA,99.9%,90,15645,523,16168,0.005663870939760107,0.29066626159937725,0.41368626373900386
Evans Group,Cloud Optimization,36 months,SOC2,99.9%,30,17655,908,18563,0.12922122185140414,0.32938732198659637,0.3681335899811382
"Peters, Green and Rodgers",Multi-Cloud Management,24 months,ISO 27001,99.99%,30,25064,4148,29212,0.14602607753603541,0.38011685887456415,0.5659948382691918
"Simon, Ward and Hughes",AI-Powered Security,36 months,FedRAMP,99.99%,90,30770,2661,33431,0.08193719514043328,0.23752304184806883,0.6791277374008733
Tyler PLC,Cloud Optimization,24 months,SOC2,99.99%,30,24134,3967,28101,0.05019975149768172,0.31954906287840656,0.15118291933725425
"Juarez, Murillo and Myers",AI-Powered Security,24 months,ISO 27001,99.95%,90,20267,2767,23034,0.13776202636455076,0.716631589765411,0.42597303221991334
"Carter, Johnson and Brown",AI-Powered Security,24 months,SOC2,99.9%,90,18356,4810,23166,0.03970942439984383,0.31079191253464666,0.5999442914044706
York-Hampton,AI-Powered Security,24 months,FedRAMP,99.95%,90,28220,4191,32411,0.10510978205448977,0.8556245661758771,0.46710369231426996
Lopez Ltd,AI-Powered Security,24 months,ISO 27001,99.9%,45,28128,4888,33016,0.03603683362799826,0.9566118541638586,0.7450726145914884
Grant Group,Multi-Cloud Management,24 months,HIPAA,99.99%,45,20084,2435,22519,0.091276851378802,0.3934805505886262,0.9648231254722478
Chandler and Sons,AI-Powered Security,24 months,ISO 27001,99.99%,60,31440,4406,35846,0.13354687364222126,0.7512440301848715,0.9652618691653132
Gray-Butler,Multi-Cloud Management,36 months,FedRAMP,99.99%,45,39149,2578,41727,0.03330977618120879,0.4726647293648447,0.06113763001222361
Holt and Sons,AI-Powered Security,24 months,FedRAMP,99.95%,30,21666,2221,23887,0.043751062441529494,0.45729427939568357,0.41231757808312486
"Hall, Adams and Rogers",Cloud Optimization,12 months,SOC2,99.9%,45,20420,1600,22020,0.1452447471990254,0.4895395420941543,0.6963758498705658
"Garner, Thomas and Garcia",AI-Powered Security,24 months,SOC2,99.99%,45,23493,4377,27870,0.02452019071594157,0.2557323267735494,0.24737581953274024
Mcdaniel-Olsen,AI-Powered Security,36 months,FedRAMP,99.99%,90,29351,1828,31179,0.12336631869733901,0.972293584122333,0.3872618122731889
Massey-Stevens,AI-Powered Security,36 months,ISO 27001,99.99%,30,30636,2802,33438,0.02364908925800101,0.7363050159809107,0.037232604915937495
Gonzales Ltd,Multi-Cloud Management,36 months,HIPAA,99.99%,60,30899,3498,34397,0.1146649293555288,0.7575838327190574,0.525631914599504
"Ray, Thornton and Pruitt",AI-Powered Security,12 months,FedRAMP,99.9%,30,30018,4976,34994,0.026183324303544753,0.9875857415385745,0.360884912494307
"Gill, Taylor and Crane",Cloud Optimization,12 months,FedRAMP,99.95%,45,26817,4005,30822,0.008006324126589125,0.6885121884095631,0.07398888420190508
"Roman, Velazquez and Nguyen",AI-Powered Security,36 months,HIPAA,99.95%,60,26689,2595,29284,0.13133349815244094,0.8759339254453248,0.1760670360376576
Salazar-Ware,Multi-Cloud Management,24 months,SOC2,99.99%,30,21443,2045,23488,0.02160305370775493,0.8908576145077127,0.9880080428479597
Ayala-Martinez,Multi-Cloud Management,12 months,SOC2,99.9%,45,39164,889,40053,0.09682358087495294,0.9461737047963453,0.2813385860456368
Morales-Robinson,Multi-Cloud Management,24 months,FedRAMP,99.95%,60,22779,838,23617,0.06585795599270926,0.28775424056232457,0.1522706856722975
"Hendricks, Smith and Ramirez",Multi-Cloud Management,36 months,FedRAMP,99.9%,60,27453,1947,29400,0.08549809793081146,0.16841410680514102,0.663714165451469
Harrison-Lin,AI-Powered Security,24 months,FedRAMP,99.95%,60,24706,3963,28669,0.10511056490014534,0.560488039478102,0.06111357612834434
Everett-Young,Cloud Optimization,12 months,ISO 27001,99.9%,30,17512,1763,19275,0.1444561174103434,0.810153735276698,0.014086412162869988
Barnett Group,Multi-Cloud Management,36 months,FedRAMP,99.9%,45,32544,2528,35072,0.031077220784165954,0.15902513076642655,0.6519126067329519
Jackson-Lane,Cloud Optimization,12 months,SOC2,99.95%,45,23026,2260,25286,0.01686070669169232,0.45185866513424044,0.1924110378871393
Leon-Lawson,Multi-Cloud Management,24 months,HIPAA,99.95%,45,24671,1225,25896,0.14495001507084654,0.15658137617896384,0.18630961750245023
"Carr, Wright and Zhang",Cloud Optimization,24 months,FedRAMP,99.99%,60,27186,1574,28760,0.008440491632206582,0.4326715339176942,0.777901494487037
Taylor-Gray,Cloud Optimization,24 months,FedRAMP,99.99%,90,20262,2174,22436,0.125135764446096,0.4762328135171624,0.9877733321371224
Howard-Hudson,AI-Powered Security,24 months,FedRAMP,99.9%,30,31383,3929,35312,0.14136867577999443,0.9973206116397705,0.2821786456492331
Pittman-Lopez,Multi-Cloud Management,24 months,SOC2,99.9%,90,27765,2022,29787,0.13643534150168812,0.44966166311292255,0.28042986157357686
Nelson Inc,Cloud Optimization,12 months,SOC2,99.99%,45,16287,1075,17362,0.0521741705679172,0.03425457362663997,0.2742803762251319
"Holloway, Faulkner and Valencia",Multi-Cloud Management,12 months,FedRAMP,99.95%,60,24576,1524,26100,0.008431433679933325,0.6317361768234109,0.7646496115903573
Ruiz Group,Cloud Optimization,36 months,ISO 27001,99.99%,90,29069,1127,30196,0.1492773180937408,0.07559587516160127,0.9364464228117573
Hernandez-Evans,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,36212,4719,40931,0.015225578745530322,0.497746816956376,0.42804779194207465
Jones and Sons,AI-Powered Security,36 months,HIPAA,99.95%,45,21926,2552,24478,0.1290025129364318,0.3596367431790025,0.3248866064812187
"Wong, White and Ward",AI-Powered Security,12 months,SOC2,99.95%,45,31017,3597,34614,0.012537333300053355,0.8226249276785601,0.15196252587821513
Anderson-Moore,Multi-Cloud Management,12 months,ISO 27001,99.99%,90,34405,700,35105,0.08326278757092297,0.10880739023006558,0.9321300733011637
Johns-Johnson,AI-Powered Security,12 months,HIPAA,99.95%,45,23816,3924,27740,0.03005404560051754,0.5425702034080678,0.440218972971002
