Supplier,Product,Contract Length,Compliance,SLA,Delivery Time (days),Base Price,Additional Fees,Total Price,Price Volatility,Delivery Risk,Contract Risk,Market Price Trends
Bowen-Chung,Cloud Optimization,36 months,HIPAA,99.95%,90,21028,3249,24277,0.0469481571270682,0.5875564019858786,0.6793155399660034,Stable
"Murphy, Barrett and Martin",Cloud Optimization,36 months,SOC2,99.95%,30,15189,4060,19249,0.0415004913268622,0.655948710838392,0.1198406615412038,Decreasing
Velez Inc,AI-Powered Security,36 months,HIPAA,99.9%,30,27909,1855,29764,0.0276802576104966,0.2732035060502324,0.4089865037338344,Decreasing
Turner-Gilmore,Multi-Cloud Management,24 months,SOC2,99.9%,45,33601,2214,35815,0.0926788731093383,0.7869900833848252,0.3342633747792092,Decreasing
Williamson and Sons,Cloud Optimization,36 months,ISO 27001,99.9%,90,29621,3331,32952,0.0813615193017462,0.3711116637765881,0.6974990360370945,Stable
Garcia Ltd,Cloud Optimization,12 months,ISO 27001,99.99%,90,25558,1026,26584,0.1476374649736935,0.8416752092714888,0.7890048845606946,Stable
Castro-Gomez,Cloud Optimization,36 months,ISO 27001,99.95%,45,29191,1347,30538,0.1377454113014659,0.8582797228559551,0.1990443058203523,Stable
Williamson LLC,AI-Powered Security,12 months,SOC2,99.99%,45,30751,4909,35660,0.0832414333876705,0.779711525180385,0.1168347364106812,Increasing
Wallace PLC,Multi-Cloud Management,24 months,HIPAA,99.95%,45,22816,1598,24414,0.0165349363081849,0.7893796334619244,0.16810254980518,Decreasing
"Evans, Douglas and Ferguson",Multi-Cloud Management,24 months,FedRAMP,99.99%,90,39329,1377,40706,0.0286188398213758,0.8071797702024911,0.657494059256251,Decreasing
Rios-Garcia,Multi-Cloud Management,12 months,FedRAMP,99.95%,30,22403,570,22973,0.0186004491936213,0.9218536737859097,0.1729315146394453,Increasing
Young Ltd,AI-Powered Security,36 months,ISO 27001,99.9%,45,27821,4788,32609,0.0582446666922808,0.2551153933380007,0.3991317024000309,Stable
"Vargas, Ramirez and Davis",Multi-Cloud Management,24 months,ISO 27001,99.99%,30,38732,3536,42268,0.0937234713140156,0.9880866567365598,0.4384188647019115,Decreasing
Phelps PLC,Cloud Optimization,36 months,ISO 27001,99.99%,30,22358,1571,23929,0.0518303625522939,0.3721201960080287,0.6097313531899208,Stable
Werner-Holt,Cloud Optimization,24 months,SOC2,99.95%,60,17977,1462,19439,0.1398641674468222,0.9693301253516604,0.1253788841081876,Decreasing
"Jones, Lynch and Parker",Cloud Optimization,12 months,ISO 27001,99.9%,60,27934,4193,32127,0.1200351320899743,0.5232315278655318,0.1881483485465556,Decreasing
Murphy-Frye,AI-Powered Security,24 months,ISO 27001,99.9%,30,23868,631,24499,0.0170097491017363,0.4337270626460162,0.4572997979968979,Decreasing
Miller-Castro,Multi-Cloud Management,36 months,HIPAA,99.99%,30,36439,4164,40603,0.1308918262316377,0.3013983774171824,0.1592616943410943,Decreasing
Obrien Inc,AI-Powered Security,12 months,FedRAMP,99.95%,30,30132,3466,33598,0.0412307142138229,0.6776131755426114,0.0384330974324698,Stable
"Park, Jones and Collins",Multi-Cloud Management,24 months,SOC2,99.99%,60,36524,3393,39917,0.1472312089566469,0.1993238589505738,0.0652551891250059,Stable
"Davis, Franklin and Cisneros",Multi-Cloud Management,12 months,ISO 27001,99.9%,45,25318,2529,27847,0.1467051283328527,0.8299223129834905,0.6590341330833237,Decreasing
"Shaw, Allen and Bentley",Cloud Optimization,36 months,FedRAMP,99.9%,45,17946,3736,21682,0.1319344856419171,0.5800435552980984,0.4446055992361009,Increasing
Dougherty-Griffin,Cloud Optimization,24 months,SOC2,99.95%,30,20693,4382,25075,0.1389122020180378,0.4556025375016621,0.3633337819162643,Decreasing
Chandler-Gregory,Multi-Cloud Management,36 months,ISO 27001,99.99%,60,28131,4104,32235,0.0434905640493566,0.1866839259143167,0.4063998528544974,Increasing
"Jimenez, Gonzalez and Hall",Multi-Cloud Management,36 months,SOC2,99.9%,45,35218,3508,38726,0.1169068617454981,0.5667645638523757,0.2297956836052593,Increasing
Miller-Ward,Cloud Optimization,24 months,HIPAA,99.9%,90,24644,2633,27277,0.1456092245978691,0.2547923557313042,0.4857841143552324,Decreasing
Anderson-Parker,Multi-Cloud Management,36 months,ISO 27001,99.9%,60,32587,3995,36582,0.0544104971958725,0.016929352425535,0.522095236914789,Increasing
Lambert Inc,Cloud Optimization,12 months,ISO 27001,99.9%,90,18133,3911,22044,0.0723324408840579,0.4848714745971586,0.8905024873479125,Increasing
"Powell, Morris and Warner",Cloud Optimization,12 months,SOC2,99.9%,45,27801,2856,30657,0.1215602911288474,0.4277011708192385,0.7015993498995969,Increasing
"Chen, Burton and Osborn",AI-Powered Security,24 months,HIPAA,99.99%,45,32530,3062,35592,0.0336258415120352,0.3591099429675971,0.230374822366024,Increasing
"Morgan, Maldonado and Rivera",Cloud Optimization,24 months,SOC2,99.95%,30,27140,2264,29404,0.0323228432914477,0.5936959788158558,0.0671970981027131,Decreasing
"Pena, Bender and Parker",Cloud Optimization,36 months,FedRAMP,99.95%,30,27328,1979,29307,0.0702486461052832,0.8618281308246027,0.5040380076287573,Decreasing
Winters-Chambers,AI-Powered Security,36 months,SOC2,99.99%,30,29943,4259,34202,0.022666527729717,0.2897179181275355,0.2327722835752167,Increasing
Shaw Inc,AI-Powered Security,12 months,HIPAA,99.95%,60,30342,4527,34869,0.0033209929550807,0.5265247107711399,0.2503345637346731,Decreasing
"Finley, Cooper and Deleon",Multi-Cloud Management,36 months,SOC2,99.99%,30,39987,4413,44400,0.1029349920144671,0.0341954499211888,0.8188328992141178,Decreasing
"Reilly, Young and Arnold",Cloud Optimization,12 months,FedRAMP,99.9%,60,18575,3341,21916,0.1334570580186596,0.4373612915626147,0.0753441175731507,Stable
Evans-Allen,Multi-Cloud Management,36 months,FedRAMP,99.9%,45,39980,1391,41371,0.0722635363684014,0.8957434451243126,0.1881715958461238,Increasing
Nichols and Sons,AI-Powered Security,24 months,ISO 27001,99.9%,30,34151,2905,37056,0.0591808812363638,0.0691528406777636,0.3479508614309924,Increasing
Miller-Long,Cloud Optimization,36 months,HIPAA,99.95%,45,15707,2280,17987,0.0103974392056975,0.2575677256495169,0.5438984207131475,Increasing
"Thompson, Davidson and Cervantes",Multi-Cloud Management,24 months,SOC2,99.99%,45,31731,1108,32839,0.1171159852330784,0.3637860515990571,0.7360540144827896,Increasing
"Browning, Pearson and Warner",Cloud Optimization,24 months,HIPAA,99.9%,60,15519,4407,19926,0.0398517698254255,0.9357998315292914,0.4579191671996209,Increasing
Anderson PLC,AI-Powered Security,36 months,ISO 27001,99.9%,30,24073,641,24714,0.0579046573539328,0.926578917143126,0.6519543449841703,Stable
"Castro, Kirby and Rivera",AI-Powered Security,24 months,FedRAMP,99.9%,30,23714,899,24613,0.1141246545029175,0.4853728951691942,0.2010834884060459,Stable
Long-Jones,Cloud Optimization,36 months,FedRAMP,99.95%,90,18647,2116,20763,0.0767334294778968,0.6290596906251722,0.4187544979202146,Decreasing
King-Dillon,AI-Powered Security,12 months,FedRAMP,99.99%,30,19535,1035,20570,0.0498844428610527,0.1326820465608494,0.8115586907290594,Stable
"Williamson, Savage and Cannon",AI-Powered Security,24 months,FedRAMP,99.99%,60,25591,4764,30355,0.0237583891780487,0.5021484526369852,0.8625568325238507,Decreasing
Oconnor Group,Cloud Optimization,36 months,ISO 27001,99.9%,90,15110,1744,16854,0.1093370633157118,0.3465410697635244,0.8876580637605281,Decreasing
Turner-Newton,AI-Powered Security,12 months,FedRAMP,99.9%,30,25077,4834,29911,0.0498505770330483,0.4552643473751825,0.5334073751454924,Stable
"Short, Jackson and Costa",AI-Powered Security,36 months,FedRAMP,99.9%,60,34712,1939,36651,0.0474076942753306,0.8886084904354514,0.5604582045583303,Increasing
"Garrett, Huffman and Estrada",Cloud Optimization,12 months,HIPAA,99.99%,30,18117,3790,21907,0.0849071359386276,0.0444024656060303,0.7964356443506597,Increasing
Edwards Inc,AI-Powered Security,36 months,FedRAMP,99.95%,30,22925,4510,27435,0.1114186252124549,0.5469958503385205,0.2566268039152278,Stable
"Hunt, Brady and Kennedy",AI-Powered Security,12 months,SOC2,99.9%,30,30667,1547,32214,0.076727933619431,0.7066877084605435,0.1927520104127122,Stable
"Blankenship, Johnson and Chapman",Cloud Optimization,24 months,HIPAA,99.9%,60,27736,3205,30941,0.0155395724996219,0.5429884037464054,0.3140079252735116,Increasing
"Williams, Hicks and Cunningham",AI-Powered Security,24 months,FedRAMP,99.95%,60,29528,2390,31918,0.1091633575992876,0.6829416946253303,0.9034002408930234,Decreasing
Walter-White,AI-Powered Security,12 months,FedRAMP,99.99%,30,26418,772,27190,0.0013369176257623,0.1886315101159877,0.6892743824616144,Increasing
Powell Ltd,Cloud Optimization,36 months,ISO 27001,99.9%,60,20546,2922,23468,0.0680723870586555,0.630284039496343,0.5395756295620613,Stable
"Cooper, Smith and Green",Multi-Cloud Management,24 months,HIPAA,99.95%,90,27274,2102,29376,0.1298456380922265,0.1508294376610286,0.0128575341169749,Increasing
Zimmerman and Sons,AI-Powered Security,36 months,HIPAA,99.9%,30,33963,2821,36784,0.1202946007533855,0.7532971205490819,0.6958636165986992,Increasing
Chen Ltd,Cloud Optimization,12 months,SOC2,99.9%,60,15195,1832,17027,0.0921631947334544,0.0280053194724584,0.931788543051174,Decreasing
Adams LLC,AI-Powered Security,36 months,FedRAMP,99.95%,90,28897,2563,31460,0.0253556274543826,0.8829261188948626,0.5722433959684513,Decreasing
Jenkins-Robertson,AI-Powered Security,24 months,ISO 27001,99.95%,60,31678,2565,34243,0.0338967576982775,0.6394684394921037,0.4570023093769406,Decreasing
Norman-Hardy,AI-Powered Security,12 months,SOC2,99.99%,60,27247,1523,28770,0.1284909419747053,0.8438683005175974,0.0986712758680561,Increasing
Howard-Burgess,Multi-Cloud Management,36 months,SOC2,99.9%,60,20025,2058,22083,0.1299283372898371,0.8828056791884848,0.0699440101386312,Increasing
Gray-Ruiz,Multi-Cloud Management,12 months,ISO 27001,99.99%,45,33217,1375,34592,0.0012729018125164,0.2166842439890026,0.8271867142453218,Decreasing
Shepherd and Sons,Cloud Optimization,12 months,ISO 27001,99.95%,30,27552,881,28433,0.026449628065206,0.4084107878481925,0.1116366871708786,Increasing
"Jones, Best and Carter",AI-Powered Security,24 months,ISO 27001,99.99%,30,22642,1370,24012,0.128702048635249,0.3423817660091883,0.2666596583882011,Decreasing
Olson and Sons,AI-Powered Security,24 months,ISO 27001,99.99%,45,25750,2112,27862,0.0993318926850168,0.4036355262525045,0.3167910744946142,Stable
"Brown, Hamilton and Hayes",AI-Powered Security,36 months,ISO 27001,99.95%,30,34747,1345,36092,0.0627383329884071,0.6989276609452169,0.999459067186402,Stable
Griffin Group,Cloud Optimization,24 months,HIPAA,99.95%,45,20668,3394,24062,0.0970881767061113,0.3734685719830489,0.7428780757183507,Stable
"Preston, Jones and Brown",Cloud Optimization,36 months,ISO 27001,99.9%,30,20856,4304,25160,0.1451831474901627,0.6814070600384377,0.3152098471611,Decreasing
"Alvarez, Rivera and Ortiz",AI-Powered Security,12 months,FedRAMP,99.95%,30,32178,4512,36690,0.1126535788707621,0.3776599108873212,0.8691741420473429,Stable
"Stevenson, Hampton and Roberts",Cloud Optimization,24 months,HIPAA,99.9%,60,17211,2871,20082,0.1123935540823875,0.3051583305372897,0.9514994392273524,Increasing
Thomas Inc,Multi-Cloud Management,24 months,FedRAMP,99.99%,90,29092,2250,31342,0.0118717002417314,0.1176765126452989,0.1758578813161925,Decreasing
Alvarez Group,Multi-Cloud Management,36 months,FedRAMP,99.95%,30,26096,4163,30259,0.0635535267990745,0.5108523649637979,0.2141162434129355,Increasing
"Owen, Anderson and Bryan",Multi-Cloud Management,36 months,HIPAA,99.9%,45,20123,4497,24620,0.0483941766355159,0.8232496026795305,0.7849893076621469,Decreasing
Christian-Conley,Multi-Cloud Management,24 months,FedRAMP,99.9%,90,23670,1641,25311,0.0133705019618186,0.0095860177414676,0.0170935201203553,Stable
Thomas-Wright,Multi-Cloud Management,36 months,SOC2,99.99%,90,20972,860,21832,0.1193345043753404,0.7636043591629952,0.1339986812056707,Stable
Zavala LLC,Cloud Optimization,12 months,HIPAA,99.99%,30,27953,1475,29428,0.1291053048813225,0.0976099982297075,0.2404455636759093,Decreasing
Alvarez-Gutierrez,AI-Powered Security,12 months,FedRAMP,99.95%,30,31134,3149,34283,0.0008912633766531,0.047708341453872,0.1476068191575886,Increasing
Stout-Owen,AI-Powered Security,12 months,FedRAMP,99.99%,60,28282,4435,32717,0.0830167247921548,0.3890313540677109,0.9981978468860953,Increasing
Tucker and Sons,AI-Powered Security,36 months,ISO 27001,99.9%,30,32388,1184,33572,0.0623898955548631,0.7847771083834078,0.9120678451256258,Stable
Reyes-Davis,Multi-Cloud Management,24 months,HIPAA,99.99%,30,23571,3692,27263,0.0391246620037513,0.7992271062915269,0.2715334829085025,Decreasing
Henderson PLC,Multi-Cloud Management,24 months,SOC2,99.99%,30,34048,1104,35152,0.0961799449848222,0.9236026679779178,0.7829883572657359,Increasing
Smith Inc,Multi-Cloud Management,24 months,SOC2,99.95%,60,20867,3106,23973,0.0748471507790642,0.6536364449100499,0.8382543658167385,Increasing
Hughes PLC,Multi-Cloud Management,12 months,FedRAMP,99.9%,45,33141,4254,37395,0.0350772553628216,0.0799151093466067,0.0005541845852539,Decreasing
"Glass, Johnson and Hanson",Multi-Cloud Management,24 months,HIPAA,99.99%,45,23960,1163,25123,0.072900517235734,0.4070849728153849,0.6505747911093461,Stable
Hart PLC,Multi-Cloud Management,12 months,ISO 27001,99.9%,45,39562,4990,44552,0.0809470938925784,0.0872241388417227,0.7387972898494148,Stable
Campbell-Alexander,Cloud Optimization,24 months,FedRAMP,99.99%,30,23008,4011,27019,0.0522758699747386,0.8329977422394179,0.6976348228326642,Decreasing
"Davis, King and Prince",Multi-Cloud Management,24 months,HIPAA,99.99%,90,36163,3344,39507,0.009775799384581,0.96318538952989,0.3489901080141575,Decreasing
Howard-Dunlap,Multi-Cloud Management,12 months,FedRAMP,99.9%,30,31716,2512,34228,0.0522797673172035,0.4343388516482918,0.3351831292187686,Decreasing
"Martinez, Morgan and Edwards",Cloud Optimization,12 months,FedRAMP,99.99%,60,28162,2397,30559,0.0256923954438227,0.8381759206857385,0.0216393249451637,Decreasing
"Powers, Hampton and Gross",Cloud Optimization,24 months,FedRAMP,99.99%,30,26675,4196,30871,0.1119225755740181,0.0506013871218047,0.8925114190941515,Increasing
Ramirez-Elliott,AI-Powered Security,12 months,ISO 27001,99.99%,45,32328,4223,36551,0.1464346885051461,0.488155956087309,0.0576426955973934,Stable
Mathis-Wise,Cloud Optimization,12 months,SOC2,99.99%,30,17053,3505,20558,0.0488365249723992,0.765531331547599,0.0163466652361926,Increasing
Riley-Stewart,Multi-Cloud Management,12 months,FedRAMP,99.99%,90,28229,2198,30427,0.0409001985402216,0.0033788468084122,0.7198303117499537,Decreasing
"Allen, Powell and Simmons",Multi-Cloud Management,36 months,HIPAA,99.95%,60,31561,1561,33122,0.1004491742449315,0.1378029876812678,0.6711861221591816,Increasing
Davis PLC,AI-Powered Security,24 months,ISO 27001,99.9%,90,28870,834,29704,0.1330712998041215,0.0492444014082891,0.1363853929336768,Decreasing
Cole Ltd,AI-Powered Security,12 months,FedRAMP,99.99%,45,22129,4066,26195,0.06769016930569,0.0040252788539707,0.4016451772120418,Stable
Russell Group,Cloud Optimization,36 months,ISO 27001,99.95%,60,27404,4483,31887,0.0984193206550802,0.8420387836055212,0.7203242773264015,Increasing
"Martinez, Andrews and Acosta",Multi-Cloud Management,36 months,SOC2,99.9%,90,30719,4338,35057,0.1265087469493606,0.9418212689647268,0.6555581974173488,Stable
Griffin-Campbell,Multi-Cloud Management,12 months,FedRAMP,99.95%,90,22223,984,23207,0.0947834508302781,0.522250524356765,0.3193183264978438,Increasing
Moses-Hayes,AI-Powered Security,24 months,HIPAA,99.9%,60,26265,595,26860,0.1178237149821402,0.4878535023663122,0.2164922104986699,Stable
"Johnson, Jones and Smith",Multi-Cloud Management,12 months,ISO 27001,99.99%,45,25350,3306,28656,0.0348223320214874,0.4367065856894923,0.8552303633440688,Stable
"Peters, Cruz and Thompson",Multi-Cloud Management,24 months,HIPAA,99.95%,60,36006,4468,40474,0.0074855881366347,0.5558713846457952,0.0207488737403789,Increasing
Thomas-Lewis,Multi-Cloud Management,36 months,HIPAA,99.99%,90,25125,3948,29073,0.0195547536265336,0.3498730907001539,0.7911596870900682,Stable
"Wyatt, Murphy and Turner",Cloud Optimization,24 months,ISO 27001,99.9%,60,18699,2773,21472,0.0245564478763575,0.0765863438616148,0.6639960174596078,Stable
Powell Ltd,AI-Powered Security,24 months,SOC2,99.9%,60,30517,4928,35445,0.1087064231196566,0.4453196182237519,0.0603658435150573,Stable
"Riley, Hernandez and Wilson",Multi-Cloud Management,36 months,FedRAMP,99.9%,45,22355,1249,23604,0.0771407243163826,0.5971507044831473,0.4575454073734121,Increasing
Evans-Carpenter,Cloud Optimization,24 months,ISO 27001,99.99%,30,28378,2877,31255,0.0016831334966193,0.2014401299223662,0.9937700423443628,Decreasing
Simmons-Bailey,Cloud Optimization,24 months,ISO 27001,99.9%,45,26686,3554,30240,0.0346896449473669,0.1896476300195365,0.2281224033203281,Increasing
Randall and Sons,Cloud Optimization,12 months,FedRAMP,99.99%,90,22190,1452,23642,0.1242187787785351,0.6385250461916646,0.8982590836748244,Stable
Scott PLC,AI-Powered Security,12 months,SOC2,99.99%,30,24772,1789,26561,0.0114320527170298,0.6527234395556732,0.5265555568678522,Stable
"Cline, Nichols and Perez",Cloud Optimization,24 months,HIPAA,99.95%,90,23667,1838,25505,0.1008602323194615,0.4887987420412409,0.0892810762791493,Stable
Frazier Inc,AI-Powered Security,12 months,HIPAA,99.9%,45,30039,4701,34740,0.0271969622226993,0.3304473539983609,0.5382184337322946,Decreasing
"Watson, Freeman and Molina",Multi-Cloud Management,36 months,SOC2,99.9%,30,34814,551,35365,0.0611153479149215,0.3900382776543051,0.8097537174356638,Increasing
Sanders and Sons,Multi-Cloud Management,12 months,HIPAA,99.9%,30,21772,4402,26174,0.1334079835123577,0.2348402715355853,0.0730726522532723,Stable
Webb-Stein,Multi-Cloud Management,24 months,ISO 27001,99.95%,30,35964,2779,38743,0.1148778456055513,0.3791393157725924,0.4787022008507855,Decreasing
"Oliver, Santiago and Rodriguez",Cloud Optimization,24 months,FedRAMP,99.9%,60,16176,2660,18836,0.0129763903409621,0.0569479486984482,0.3743255646128538,Increasing
Clark Inc,Cloud Optimization,24 months,HIPAA,99.9%,30,28767,1121,29888,0.0802450058498106,0.1304394545333465,0.7975655525345219,Stable
Davis Group,Multi-Cloud Management,36 months,HIPAA,99.95%,45,24142,2072,26214,0.0308151374722027,0.2080801569097338,0.151682848366677,Decreasing
Ball-Wilson,Cloud Optimization,36 months,ISO 27001,99.95%,45,24261,3169,27430,0.0072800176094503,0.7442809392941642,0.7460934621942268,Stable
"Rodriguez, Carter and Thomas",Cloud Optimization,12 months,SOC2,99.95%,90,19798,1973,21771,0.036363314250911,0.1685820034976194,0.394340793094323,Decreasing
Ayala Ltd,Cloud Optimization,36 months,HIPAA,99.9%,45,20184,1455,21639,0.120710559715041,0.9187237493338304,0.8967513646130647,Stable
Martinez LLC,Multi-Cloud Management,36 months,FedRAMP,99.9%,30,25819,2536,28355,0.0279782744650315,0.9288342987537924,0.5913339125607484,Increasing
Ellis-Hill,AI-Powered Security,36 months,SOC2,99.99%,60,25629,3632,29261,0.1101607626757479,0.0724985940050545,0.895298837708947,Stable
Hernandez-White,Multi-Cloud Management,36 months,SOC2,99.95%,90,21472,2879,24351,0.0694993352319409,0.6601726416469569,0.7946267910267816,Stable
Rice LLC,Multi-Cloud Management,24 months,ISO 27001,99.9%,45,26816,1240,28056,0.0950808669078118,0.860287264814549,0.9836918584171764,Decreasing
Reese-Ochoa,Cloud Optimization,12 months,ISO 27001,99.9%,45,17006,2286,19292,0.0098196528221469,0.3803789370384732,0.0036064361064614,Stable
"Johnson, Flores and Peters",Cloud Optimization,24 months,HIPAA,99.99%,90,17560,2677,20237,0.1120355483033284,0.2015270029182424,0.3413092404898934,Stable
Melton-Patel,AI-Powered Security,36 months,ISO 27001,99.9%,90,33615,1381,34996,0.0315079380268957,0.7839169288465484,0.6858724552314401,Increasing
Donaldson Group,Cloud Optimization,36 months,HIPAA,99.9%,60,26255,3628,29883,0.0405003721681792,0.3527684658569557,0.8716367705200551,Increasing
"Curtis, Fuentes and Davis",Cloud Optimization,36 months,HIPAA,99.9%,60,19809,678,20487,0.0797097460494483,0.2735842678143707,0.9267887831144266,Increasing
Munoz-Burnett,Multi-Cloud Management,12 months,HIPAA,99.9%,90,31411,1214,32625,0.050532294671487,0.6248068577332605,0.4983714454509194,Decreasing
Rowland-Rocha,Cloud Optimization,12 months,ISO 27001,99.9%,60,16828,3560,20388,0.0610869625893105,0.026057885985593,0.5653851600991959,Increasing
Short-Lee,AI-Powered Security,36 months,ISO 27001,99.9%,60,31083,995,32078,0.0994793738022509,0.2045103705559547,0.4157490525321659,Stable
"Chang, Williams and Boyle",Cloud Optimization,36 months,HIPAA,99.99%,30,16233,2297,18530,0.0292790721413888,0.1432959914309344,0.0260295498171349,Decreasing
Johnson-Tucker,Cloud Optimization,12 months,FedRAMP,99.99%,60,26818,1349,28167,0.0302165946944522,0.0420364021904207,0.9703838227924876,Stable
Mason Group,Cloud Optimization,12 months,ISO 27001,99.9%,30,23706,2091,25797,0.0568035994999503,0.6948870858072801,0.8175945469515462,Stable
Wood-Wilson,AI-Powered Security,24 months,SOC2,99.95%,60,23690,4829,28519,0.0924534485398537,0.6850299492691885,0.1977676276175184,Stable
Petty-Cardenas,Cloud Optimization,12 months,SOC2,99.9%,90,21950,1214,23164,0.0453278264999125,0.2775287919850285,0.8644276285221034,Increasing
Hill-Sharp,Multi-Cloud Management,36 months,HIPAA,99.99%,45,29541,2074,31615,0.118346578177844,0.9300268378881624,0.1179063118202842,Stable
Nichols and Sons,Cloud Optimization,36 months,ISO 27001,99.9%,30,20058,3647,23705,0.0980313220059801,0.2909755057488654,0.5867526197461204,Increasing
Gross-Glover,AI-Powered Security,36 months,ISO 27001,99.99%,90,18744,4014,22758,0.1046282832912112,0.0728327289899887,0.9387108164170272,Increasing
"Smith, Delacruz and Hart",AI-Powered Security,24 months,HIPAA,99.9%,45,27586,1720,29306,0.0349062300583307,0.034784980858734,0.7931106750282209,Increasing
Carlson-Lindsey,Cloud Optimization,12 months,ISO 27001,99.95%,45,18370,2045,20415,0.1060550832050754,0.2325802726112804,0.8807538380567184,Decreasing
Parker-Daniels,AI-Powered Security,36 months,HIPAA,99.9%,60,22014,4679,26693,0.1084551646276193,0.3932464647920377,0.2172334745924347,Increasing
Morrison-Munoz,AI-Powered Security,24 months,ISO 27001,99.95%,90,32008,1125,33133,0.0544692664269108,0.2570818218513682,0.7510329615376086,Stable
"Dominguez, Brooks and Wheeler",Multi-Cloud Management,24 months,SOC2,99.99%,45,22781,2391,25172,0.1057369392366216,0.6789048945276632,0.6121095775008583,Decreasing
Bailey-Valdez,Multi-Cloud Management,12 months,SOC2,99.99%,45,30830,3787,34617,0.0129399211594644,0.416719114973049,0.6179730468473074,Increasing
Joyce LLC,Multi-Cloud Management,36 months,ISO 27001,99.9%,60,30659,663,31322,0.0681343586560802,0.8881942258481593,0.6944797419533928,Decreasing
Williams-Bradley,Cloud Optimization,24 months,ISO 27001,99.9%,90,15339,4281,19620,0.0271621053461911,0.6319820929833062,0.6157897989801244,Increasing
Gordon LLC,Cloud Optimization,24 months,HIPAA,99.95%,60,27633,1138,28771,0.1366312812786829,0.3469689983700185,0.1020617851378268,Decreasing
Cervantes-Miller,Multi-Cloud Management,24 months,ISO 27001,99.9%,45,27407,2005,29412,0.0379254304612185,0.3919811129069601,0.6459341848009382,Increasing
"Avery, Davis and Fleming",Cloud Optimization,36 months,HIPAA,99.95%,60,15080,2634,17714,0.1197919523885176,0.4585487714794001,0.1998209203413641,Stable
"Howell, King and Ashley",Multi-Cloud Management,12 months,FedRAMP,99.9%,60,33191,4014,37205,0.1305538246933537,0.6961531425400574,0.2447591507601304,Decreasing
Obrien Ltd,Cloud Optimization,12 months,ISO 27001,99.9%,45,21405,990,22395,0.0652438659526825,0.1119729704869932,0.1410496902498401,Increasing
Barrett-Clark,Multi-Cloud Management,12 months,ISO 27001,99.99%,90,36203,1634,37837,0.0996388465710206,0.899278792536333,0.7265587872242619,Increasing
Nicholson Group,Multi-Cloud Management,24 months,ISO 27001,99.9%,60,28937,2502,31439,0.0307920534929551,0.3642239337265038,0.650156220738494,Stable
Grant-Ballard,AI-Powered Security,36 months,SOC2,99.99%,90,28790,1853,30643,0.074722265585185,0.2459372142528491,0.6887303576063237,Increasing
"Stevens, Hamilton and Marquez",Multi-Cloud Management,36 months,HIPAA,99.99%,30,34716,1984,36700,0.1128404191418009,0.0675012288723875,0.2171645159564422,Decreasing
Romero Ltd,Cloud Optimization,36 months,FedRAMP,99.9%,60,21376,2422,23798,0.10828859548934,0.7735191902421031,0.1498162860461033,Stable
"Conrad, Rocha and Smith",AI-Powered Security,12 months,ISO 27001,99.9%,45,29366,4188,33554,0.1356245525934112,0.2306346456614133,0.2914022662882448,Increasing
Meyers-Frey,Cloud Optimization,12 months,FedRAMP,99.9%,90,18549,957,19506,0.0588393218651541,0.4390099911996094,0.7970628832022295,Decreasing
"Nelson, Mason and Ball",Cloud Optimization,24 months,FedRAMP,99.95%,60,23452,1747,25199,0.0512636403447844,0.3257681196433685,0.0350876112162999,Decreasing
"Gibson, Franklin and Boyd",AI-Powered Security,36 months,ISO 27001,99.95%,90,18135,2877,21012,0.0251818351624269,0.0096662666901823,0.0733164521207654,Stable
"Bates, Smith and Smith",Cloud Optimization,12 months,HIPAA,99.9%,60,28760,1134,29894,0.0428265673109338,0.348591150376583,0.4935169867247723,Increasing
Bush Group,AI-Powered Security,36 months,HIPAA,99.95%,30,33396,602,33998,0.0843096150088286,0.5926639501334947,0.48620706489663,Increasing
Pham-Clark,Cloud Optimization,12 months,SOC2,99.95%,45,21750,2735,24485,0.0061599560619917,0.0715388218903764,0.3250515236095875,Decreasing
Richardson LLC,AI-Powered Security,24 months,FedRAMP,99.95%,90,23945,1776,25721,0.0195935950303937,0.933954131795238,0.144189463906153,Stable
Miranda-Cox,Cloud Optimization,12 months,ISO 27001,99.99%,90,29196,4247,33443,0.0157137389307747,0.8363098750156717,0.408193081817418,Stable
Baker Ltd,Cloud Optimization,36 months,HIPAA,99.9%,90,15645,523,16168,0.0056638709397601,0.2906662615993772,0.4136862637390038,Stable
Evans Group,Cloud Optimization,36 months,SOC2,99.9%,30,17655,908,18563,0.1292212218514041,0.3293873219865963,0.3681335899811382,Stable
"Peters, Green and Rodgers",Multi-Cloud Management,24 months,ISO 27001,99.99%,30,25064,4148,29212,0.1460260775360354,0.3801168588745641,0.5659948382691918,Decreasing
"Simon, Ward and Hughes",AI-Powered Security,36 months,FedRAMP,99.99%,90,30770,2661,33431,0.0819371951404332,0.2375230418480688,0.6791277374008733,Decreasing
Tyler PLC,Cloud Optimization,24 months,SOC2,99.99%,30,24134,3967,28101,0.0501997514976817,0.3195490628784065,0.1511829193372542,Stable
"Juarez, Murillo and Myers",AI-Powered Security,24 months,ISO 27001,99.95%,90,20267,2767,23034,0.1377620263645507,0.716631589765411,0.4259730322199133,Stable
"Carter, Johnson and Brown",AI-Powered Security,24 months,SOC2,99.9%,90,18356,4810,23166,0.0397094243998438,0.3107919125346466,0.5999442914044706,Decreasing
